file_id,accuracy,stress,phones,total,text,phones-accuracy,speaker_id
10113,10,10,"['DH', 'EH0', 'N']",10,THEN,"[2.0, 2.0, 2.0]",1
10113,8,10,"['HH', 'IY0']",8,HE,"[1.0, 2.0]",1
10113,10,10,"['W', 'EH0', 'N', 'T']",10,WENT,"[2.0, 2.0, 2.0, 2.0]",1
10113,10,10,"['T', 'UW0']",10,TO,"[2.0, 2.0]",1
10113,2,10,"['TH', 'IY0', 'M']",3,THEME,"[1.2, 0.0, 1.6]",1
10113,10,10,"['P', 'AA0', 'R', 'K']",10,PARK,"[2.0, 2.0, 1.8, 2.0]",1
10115,10,10,"['L', 'EH0', 'T', 'S']",10,LET'S,"[2.0, 2.0, 2.0, 2.0]",1
10115,10,10,"['G', 'OW0']",10,GO,"[2.0, 2.0]",1
10115,10,10,"['T', 'UW0']",10,TO,"[2.0, 2.0]",1
10115,10,10,"['DH', 'AH0']",10,THE,"[2.0, 2.0]",1
10115,10,10,"['R', 'EH1', 'S', 'T', 'R', 'UW0', 'M']",10,RESTROOM,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.8]",1
10121,10,10,"['DH', 'EH0', 'N']",10,THEN,"[2.0, 2.0, 2.0]",1
10121,10,10,"['M', 'AY0', 'K']",10,MIKE,"[2.0, 2.0, 2.0]",1
10121,10,10,"['W', 'AO0', 'K', 'S']",10,WALKS,"[2.0, 1.8, 2.0, 2.0]",1
10121,10,10,"['T', 'UW0']",10,TO,"[2.0, 2.0]",1
10121,10,10,"['K', 'AO1', 'F', 'IY0']",10,COFFEE,"[2.0, 1.2, 1.6, 1.6]",1
10122,10,10,"['S', 'OW0']",10,SO,"[2.0, 2.0]",1
10122,10,10,"['M', 'AE1', 'R', 'IH0']",10,MARY,"[2.0, 2.0, 2.0, 2.0]",1
10122,10,10,"['W', 'EH0', 'N', 'T']",10,WENT,"[2.0, 2.0, 2.0, 2.0]",1
10122,10,10,"['AA0', 'N']",10,ON,"[2.0, 2.0]",1
10122,10,10,"['T', 'UW0']",10,TO,"[2.0, 2.0]",1
10122,10,10,"['S', 'T', 'AH1', 'D', 'IY0']",10,STUDY,"[2.0, 2.0, 1.8, 2.0, 2.0]",1
10133,8,10,"['K', 'EH0', 'T']",8,KATE,"[2.0, 1.6, 1.8]",1
10133,10,10,"['G', 'AA0', 'T']",10,GOT,"[2.0, 1.6, 2.0]",1
10133,10,10,"['DH', 'AH0']",10,THE,"[2.0, 2.0]",1
10133,8,10,"['T', 'AH0', 'M', 'EY1', 'T', 'OW0']",8,TOMATO,"[2.0, 2.0, 2.0, 1.0, 1.8, 2.0]",1
10135,10,10,"['T', 'IY1', 'N', 'AH0']",10,TINA,"[2.0, 2.0, 2.0, 2.0]",1
10135,10,10,"['L', 'AH0', 'V', 'Z']",10,LOVES,"[2.0, 2.0, 2.0, 1.6]",1
10135,10,10,"['EH1', 'G', 'P', 'L', 'AE0', 'N', 'T']",10,EGGPLANT,"[1.6, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",1
10140,10,10,"['D', 'AO1', 'R', 'AH0']",10,DORA,"[2.0, 1.8, 2.0, 2.0]",1
10140,10,10,"['IH0', 'Z']",10,IS,"[2.0, 2.0]",1
10140,10,10,"['N', 'AA0', 'T']",10,NOT,"[2.0, 1.6, 2.0]",1
10140,10,10,['AH0'],10,A,[2.0],1
10140,10,10,"['K', 'L', 'IY1', 'N', 'ER0']",10,CLEANER,"[2.0, 2.0, 2.0, 2.0, 2.0]",1
10145,10,10,"['M', 'AA0', 'R', 'K']",10,MARK,"[2.0, 2.0, 1.8, 1.6]",1
10145,10,10,"['L', 'IH0', 'V', 'D']",10,LIVED,"[2.0, 2.0, 2.0, 2.0]",1
10145,10,10,"['IH0', 'N']",10,IN,"[2.0, 2.0]",1
10145,10,10,"['N', 'UW0']",10,NEW,"[2.0, 2.0]",1
10145,10,10,"['Y', 'AO0', 'K']",10,YORK,"[2.0, 2.0, 2.0]",1
10149,10,10,"['B', 'AA0', 'B']",10,BOB,"[2.0, 1.4, 2.0]",1
10149,10,10,"['L', 'IH0', 'V', 'Z']",10,LIVES,"[2.0, 2.0, 2.0, 1.6]",1
10149,10,10,"['IH0', 'N']",10,IN,"[2.0, 2.0]",1
10149,8,10,"['K', 'AY1', 'R', 'OW0']",8,CAIRO,"[2.0, 1.6, 1.6, 1.4]",1
10149,10,10,"['N', 'AW0']",10,NOW,"[2.0, 2.0]",1
10168,10,10,"['B', 'AY0']",10,BYE,"[2.0, 2.0]",1
10173,8,10,"['T', 'R', 'IY0', 'Z']",8,TREES,"[2.0, 2.0, 2.0, 1.2]",1
30012,10,10,"['M', 'AA0', 'R', 'K']",10,MARK,"[2.0, 2.0, 1.8, 2.0]",3
30012,10,10,"['IH0', 'Z']",10,IS,"[2.0, 1.8]",3
30012,10,10,"['G', 'OW0', 'IH0', 'NG']",10,GOING,"[2.0, 2.0, 2.0, 2.0]",3
30012,10,10,"['T', 'UW0']",10,TO,"[2.0, 2.0]",3
30012,10,10,"['S', 'IY0']",10,SEE,"[2.0, 2.0]",3
30012,10,10,"['EH1', 'L', 'IH0', 'F', 'AH0', 'N', 'T']",10,ELEPHANT,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",3
30024,8,10,"['K', 'EH0', 'T']",8,KATE,"[2.0, 1.4, 1.8]",3
30024,8,10,"['L', 'AH0', 'V', 'Z']",8,LOVES,"[2.0, 2.0, 2.0, 1.4]",3
30024,10,10,"['CH', 'AY1', 'N', 'AH0']",10,CHINA,"[2.0, 2.0, 2.0, 2.0]",3
30040,10,10,"['T', 'UW0']",10,TWO,"[2.0, 2.0]",3
30040,10,10,"['S', 'IH0', 'K', 'S']",10,SIX,"[2.0, 2.0, 2.0, 2.0]",3
30040,10,10,"['F', 'AO0', 'R']",10,FOUR,"[2.0, 2.0, 1.8]",3
30040,10,10,"['EY0', 'T']",10,EIGHT,"[2.0, 2.0]",3
30047,10,10,"['S', 'EH1', 'V', 'N']",10,SEVEN,"[2.0, 2.0, 2.0, 2.0]",3
30047,8,10,"['TH', 'R', 'IY0']",8,THREE,"[1.2, 2.0, 1.8]",3
30047,10,10,"['F', 'AO0', 'R']",10,FOUR,"[2.0, 2.0, 2.0]",3
30047,10,10,"['T', 'UW0']",10,TWO,"[2.0, 2.0]",3
30049,10,10,"['T', 'UW0']",10,TWO,"[2.0, 2.0]",3
30049,10,10,"['EY0', 'T']",10,EIGHT,"[2.0, 2.0]",3
30049,10,10,"['N', 'AY0', 'N']",10,NINE,"[2.0, 2.0, 2.0]",3
30049,10,10,"['W', 'AH0', 'N']",10,ONE,"[2.0, 2.0, 2.0]",3
30051,10,10,"['W', 'AH0', 'N']",10,ONE,"[2.0, 2.0, 2.0]",3
30051,6,10,"['Z', 'IH', 'AH1', 'OW0']",6,ZERO,"[2.0, 0.6000000000000001, 0.6000000000000001, 2.0]",3
30051,10,10,"['W', 'AH0', 'N']",10,ONE,"[2.0, 2.0, 2.0]",3
30051,6,10,"['Z', 'IH', 'AH1', 'OW0']",6,ZERO,"[2.0, 0.6000000000000001, 0.6000000000000001, 2.0]",3
30054,10,10,"['T', 'UW0']",10,TWO,"[2.0, 2.0]",3
30054,8,10,"['F', 'AY0', 'V']",8,FIVE,"[2.0, 2.0, 1.4]",3
30054,10,10,"['N', 'AY0', 'N']",10,NINE,"[2.0, 2.0, 2.0]",3
30054,10,10,"['N', 'AY0', 'N']",10,NINE,"[2.0, 2.0, 2.0]",3
30059,8,10,"['T', 'AH0', 'M', 'EY1', 'T', 'OW0']",8,TOMATO,"[1.8, 2.0, 2.0, 1.0, 2.0, 2.0]",3
30059,10,10,"['S', 'P', 'R', 'IH0', 'NG']",10,SPRING,"[2.0, 2.0, 2.0, 2.0, 2.0]",3
30059,10,10,"['F', 'OW1', 'T', 'OW0']",10,PHOTO,"[2.0, 2.0, 1.8, 2.0]",3
30067,10,10,"['L', 'EY1', 'L', 'AA0']",9,LAYLA,"[2.0, 1.2, 2.0, 2.0]",3
30067,10,10,"['IH0', 'Z']",10,IS,"[2.0, 2.0]",3
30067,10,10,"['G', 'UH0', 'D']",10,GOOD,"[2.0, 2.0, 2.0]",3
30067,10,10,"['AE0', 'T']",10,AT,"[2.0, 1.8]",3
30067,10,10,"['S', 'W', 'IH1', 'M', 'IH0', 'NG']",10,SWIMMING,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",3
30069,10,10,"['AE1', 'L', 'IH0', 'S']",10,ALICE,"[2.0, 2.0, 2.0, 2.0]",3
30069,10,10,"['G', 'IH0', 'V']",10,GIVE,"[2.0, 1.6, 2.0]",3
30069,10,10,"['AH0', 'P']",10,UP,"[2.0, 2.0]",3
30069,10,10,"['B', 'AA1', 'K', 'S', 'IH0', 'NG']",10,BOXING,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",3
30079,10,10,"['L', 'EY1', 'L', 'AA0']",10,LAYLA,"[2.0, 1.8, 2.0, 2.0]",3
30079,10,10,"['W', 'AH1', 'N', 'T', 'S']",10,WANTS,"[2.0, 2.0, 2.0, 2.0, 2.0]",3
30079,10,10,"['HH', 'AE0', 'V']",10,HAVE,"[2.0, 2.0, 2.0]",3
30079,10,10,"['S', 'AH0', 'M']",10,SOME,"[2.0, 2.0, 2.0]",3
30079,10,10,"['S', 'AE1', 'L', 'AH0', 'D']",10,SALAD,"[2.0, 2.0, 2.0, 2.0, 2.0]",3
30080,10,10,"['D', 'AH0', 'Z']",10,DOES,"[2.0, 2.0, 2.0]",3
30080,10,10,"['HH', 'IY0']",10,HE,"[2.0, 2.0]",3
30080,10,10,"['N', 'OW0']",10,KNOW,"[2.0, 2.0]",3
30080,10,10,"['DH', 'AH0']",10,THE,"[2.0, 2.0]",3
30080,10,10,"['B', 'IH1', 'S', 'K', 'IH0', 'T']",9,BISCUIT,"[2.0, 2.0, 2.0, 1.8, 2.0, 2.0]",3
30097,10,10,"['HH', 'IH', 'AH0']",10,HERE,"[2.0, 1.6, 1.6]",3
30097,10,10,"['IH0', 'Z']",10,IS,"[2.0, 1.8]",3
30097,8,10,"['T', 'AY0', 'M', 'Z']",8,TIME'S,"[2.0, 1.8, 2.0, 1.6]",3
30097,3,10,"['K', 'L', 'AO0', 'TH']",4,CLOTH,"[2.0, 2.0, 0.6000000000000001, 2.0]",3
30101,10,10,"['L', 'UH0', 'K']",10,LOOK,"[2.0, 2.0, 2.0]",3
30101,10,10,"['AE0', 'T']",10,AT,"[2.0, 2.0]",3
30101,10,10,"['B', 'AA0', 'B', 'Z']",10,BOB'S,"[2.0, 2.0, 2.0, 1.6]",3
30101,10,10,"['T', 'IY0']",10,T,"[2.0, 2.0]",3
30101,10,10,"['SH', 'ER0', 'T']",10,SHIRT,"[2.0, 2.0, 2.0]",3
30116,10,10,"['S', 'OW0']",10,SO,"[2.0, 1.8]",3
30116,10,10,"['B', 'IH1', 'L', 'IY0']",10,BILLY,"[2.0, 2.0, 2.0, 2.0]",3
30116,10,10,"['W', 'EH0', 'N', 'T']",10,WENT,"[2.0, 2.0, 2.0, 2.0]",3
30116,10,10,"['IH1', 'N', 'T', 'UW0']",10,INTO,"[2.0, 2.0, 2.0, 2.0]",3
30116,10,10,"['DH', 'AH0']",10,THE,"[2.0, 2.0]",3
30116,10,10,"['P', 'EH0', 'T']",10,PET,"[2.0, 2.0, 2.0]",3
30116,10,10,"['SH', 'AA0', 'P']",10,SHOP,"[2.0, 1.8, 2.0]",3
30119,10,10,"['S', 'OW0']",10,SO,"[2.0, 1.8]",3
30119,10,10,"['T', 'IY1', 'N', 'AH0']",10,TINA,"[2.0, 2.0, 2.0, 2.0]",3
30119,10,10,"['W', 'EH0', 'N', 'T']",10,WENT,"[2.0, 2.0, 2.0, 2.0]",3
30119,10,10,"['IH1', 'N', 'T', 'UW0']",10,INTO,"[2.0, 2.0, 2.0, 2.0]",3
30119,10,10,"['DH', 'AH0']",10,THE,"[2.0, 2.0]",3
30119,10,10,"['W', 'AA1', 'SH', 'R', 'UW0', 'M']",10,WASHROOM,"[2.0, 1.2, 2.0, 2.0, 2.0, 2.0]",3
30145,10,10,"['B', 'IH1', 'L', 'IY0']",10,BILLY,"[2.0, 2.0, 2.0, 2.0]",3
30145,10,10,"['L', 'IH0', 'V', 'D']",10,LIVED,"[2.0, 2.0, 2.0, 2.0]",3
30145,10,10,"['IH0', 'N']",10,IN,"[2.0, 2.0]",3
30145,10,10,"['N', 'UW0']",10,NEW,"[2.0, 2.0]",3
30145,10,10,"['Y', 'AO0', 'K']",10,YORK,"[2.0, 2.0, 2.0]",3
30153,10,10,"['M', 'AO0', 'R']",10,MORE,"[2.0, 2.0, 1.8]",3
30153,10,10,"['DH', 'AE0', 'N']",10,THAN,"[2.0, 2.0, 2.0]",3
30153,10,10,"['DH', 'AE0', 'T']",10,THAT,"[1.8, 2.0, 2.0]",3
30154,10,10,"['M', 'AY0']",10,MY,"[2.0, 2.0]",3
30154,10,10,"['M', 'AE0', 'P']",10,MAP,"[2.0, 2.0, 2.0]",3
30154,10,10,"['W', 'IH0', 'L']",10,WILL,"[2.0, 2.0, 1.6]",3
30154,10,10,"['SH', 'OW0']",10,SHOW,"[2.0, 2.0]",3
30154,10,10,"['AH0', 'S']",10,US,"[2.0, 2.0]",3
30175,10,10,"['Y', 'AH1', 'M', 'IY0']",10,YUMMY,"[2.0, 1.8, 2.0, 2.0]",3
50003,10,10,"['M', 'AY0', 'K']",10,MIKE,"[2.0, 2.0, 2.0]",5
50003,10,10,"['L', 'AY0', 'K', 'S']",10,LIKES,"[2.0, 2.0, 2.0, 2.0]",5
50003,10,10,"['DH', 'AH0']",10,THE,"[1.6, 2.0]",5
50003,10,10,"['W', 'AY0', 'T']",10,WHITE,"[2.0, 2.0, 2.0]",5
50003,10,10,"['W', 'AH0', 'N']",10,ONE,"[2.0, 2.0, 2.0]",5
50010,10,10,"['IH0', 'T', 'S']",10,ITS,"[2.0, 2.0, 2.0]",5
50010,10,10,"['N', 'EY0', 'M']",10,NAME,"[2.0, 2.0, 2.0]",5
50010,7,10,"['IH0', 'Z']",7,IS,"[0.8, 1.4]",5
50010,10,10,"['S', 'EY0']",10,SAY,"[2.0, 1.4]",5
50024,10,10,"['B', 'IH1', 'L', 'IY0']",10,BILLY,"[2.0, 2.0, 2.0, 2.0]",5
50024,8,10,"['L', 'AH0', 'V', 'Z']",8,LOVES,"[2.0, 2.0, 1.8, 1.4]",5
50024,10,10,"['AH0', 'M', 'EH1', 'R', 'IH0', 'K', 'AH0']",10,AMERICA,"[2.0, 2.0, 2.0, 2.0, 2.0, 1.2, 2.0]",5
50028,10,10,"['T', 'UW0']",10,TWO,"[2.0, 1.8]",5
50028,10,10,"['T', 'UW0']",10,TWO,"[2.0, 1.8]",5
50028,10,10,"['EY0', 'T']",10,EIGHT,"[2.0, 2.0]",5
50028,10,10,"['S', 'EH1', 'V', 'N']",10,SEVEN,"[2.0, 2.0, 1.8, 2.0]",5
50038,10,10,"['F', 'AO0', 'R']",10,FOUR,"[2.0, 2.0, 1.8]",5
50038,10,10,"['F', 'AY0', 'V']",10,FIVE,"[2.0, 2.0, 1.8]",5
50038,10,10,"['F', 'AO0', 'R']",10,FOUR,"[2.0, 2.0, 1.8]",5
50038,10,10,"['S', 'EH1', 'V', 'N']",10,SEVEN,"[2.0, 1.8, 1.8, 2.0]",5
50040,10,10,"['F', 'AY0', 'V']",10,FIVE,"[2.0, 2.0, 1.6]",5
50040,8,10,"['TH', 'R', 'IY0']",8,THREE,"[1.6, 2.0, 1.8]",5
50040,10,10,"['N', 'AY0', 'N']",10,NINE,"[2.0, 2.0, 2.0]",5
50040,10,10,"['Z', 'IH', 'AH1', 'OW0']",10,ZERO,"[2.0, 1.8, 1.8, 2.0]",5
50047,10,10,"['S', 'IH0', 'K', 'S']",10,SIX,"[2.0, 2.0, 2.0, 2.0]",5
50047,10,10,"['F', 'AY0', 'V']",10,FIVE,"[2.0, 2.0, 1.8]",5
50047,10,10,"['TH', 'R', 'IY0']",10,THREE,"[1.4, 2.0, 2.0]",5
50049,10,10,"['T', 'UW0']",10,TWO,"[2.0, 2.0]",5
50049,8,10,"['F', 'AY0', 'V']",8,FIVE,"[2.0, 2.0, 1.4]",5
50049,10,10,"['EY0', 'T']",10,EIGHT,"[2.0, 1.8]",5
50055,10,10,"['W', 'IY0']",10,WE,"[2.0, 2.0]",5
50055,10,10,"['L', 'EH0', 'S']",10,LESS,"[2.0, 1.6, 2.0]",5
50055,10,10,"['M', 'IY0', 'T']",10,MEAT,"[2.0, 2.0, 2.0]",5
50078,10,10,"['D', 'OW0', 'S']",10,DOSE,"[2.0, 1.6, 2.0]",5
50078,10,10,"['M', 'AY0', 'K']",10,MIKE,"[1.6, 1.4, 2.0]",5
50078,10,10,"['L', 'AY0', 'K']",10,LIKE,"[2.0, 2.0, 2.0]",5
50078,10,10,"['DH', 'AH0']",10,THE,"[2.0, 2.0]",5
50078,10,10,"['HH', 'AE1', 'M', 'B', 'ER0', 'G', 'ER0']",10,HAMBURGER,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",5
50079,10,10,"['AE1', 'N', 'IH0']",10,ANNIE,"[1.8, 2.0, 2.0]",5
50079,10,10,"['W', 'AA0', 'N', 'T']",9,WANT,"[2.0, 1.6, 1.8, 2.0]",5
50079,10,10,"['HH', 'AE0', 'V']",10,HAVE,"[2.0, 2.0, 1.8]",5
50079,10,10,"['S', 'AH0', 'M']",10,SOME,"[2.0, 2.0, 2.0]",5
50079,10,10,"['P', 'R', 'IH1', 'T', 'IY0', 'S']",10,PRETTIES,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",5
50083,8,10,"['K', 'EH0', 'IY0', 'T', 'Z']",8,KATE'S,"[2.0, 2.0, 2.0, 1.8, 1.2]",5
50083,10,10,"['G', 'AA0', 'T']",10,GOT,"[2.0, 1.6, 2.0]",5
50083,10,10,"['S', 'AH0', 'M']",10,SOME,"[2.0, 2.0, 2.0]",5
50083,0,10,"['G', 'R', 'EY0']",2,GREY,"[0.4, 0.4, 0.4]",5
50095,10,10,"['L', 'UH0', 'K']",10,LOOK,"[2.0, 2.0, 2.0]",5
50095,10,10,"['AE0', 'T']",10,AT,"[2.0, 2.0]",5
50095,5,10,"['JH', 'AA0', 'N', 'Z']",6,JOHN'S,"[2.0, 1.0, 1.6, 1.2]",5
50095,10,10,"['S', 'W', 'EH1', 'T', 'ER0']",10,SWEATER,"[1.6, 2.0, 2.0, 2.0, 2.0]",5
50099,10,10,"['T', 'IH0', 'M']",10,TIM,"[2.0, 1.8, 2.0]",5
50099,10,10,"['HH', 'AE0', 'Z']",10,HAS,"[2.0, 2.0, 1.8]",5
50099,10,10,['AH0'],10,A,[2.0],5
50099,10,10,"['B', 'Y', 'UW1', 'T', 'IH0', 'F', 'L']",10,BEAUTIFUL,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",5
50099,3,10,"['T', 'EH0', 'L']",4,TELL,"[2.0, 1.2, 0.8]",5
50100,10,10,"['JH', 'IH1', 'M']",10,JIM,"[2.0, 2.0, 2.0]",5
50100,10,10,"['L', 'AY0', 'K', 'S']",10,LIKES,"[2.0, 2.0, 2.0, 2.0]",5
50100,10,10,"['Y', 'ER0']",10,YOUR,"[2.0, 1.6]",5
50100,10,10,"['B', 'L', 'UW0']",10,BLUE,"[2.0, 2.0, 2.0]",5
50100,10,10,"['SH', 'AO0', 'R']",10,SHORE,"[2.0, 2.0, 1.8]",5
50114,10,10,"['AE1', 'N', 'IH0']",10,ANNIE,"[2.0, 2.0, 2.0]",5
50114,10,10,"['W', 'EH0', 'N', 'T']",10,WENT,"[2.0, 1.6, 1.6, 2.0]",5
50114,10,10,"['W', 'AO1', 'K', 'IH0', 'NG']",10,WALKING,"[2.0, 2.0, 2.0, 2.0, 2.0]",5
50114,10,10,"['DH', 'EH0', 'M']",10,THEM,"[2.0, 1.4, 1.4]",5
50114,10,10,"['P', 'AA0', 'R', 'K']",10,PARK,"[2.0, 2.0, 1.8, 2.0]",5
50118,10,10,"['L', 'EY1', 'L', 'AA0']",10,LAYLA,"[1.2, 1.2, 2.0, 2.0]",5
50118,10,10,"['K', 'AE0', 'N']",10,CAN,"[2.0, 2.0, 1.8]",5
50118,10,10,"['S', 'IY0']",10,SEE,"[2.0, 1.6]",5
50118,10,10,"['DH', 'AH0']",10,THE,"[2.0, 2.0]",5
50118,3,10,"['HH', 'OW1', 'M', 'T', 'AW0', 'N']",4,HOMETOWN,"[2.0, 2.0, 2.0, 2.0, 0.4, 1.6]",5
50122,10,10,"['S', 'OW0']",10,SO,"[2.0, 2.0]",5
50122,10,10,"['T', 'IY1', 'N', 'AH0']",10,TINA,"[2.0, 2.0, 2.0, 2.0]",5
50122,2,10,"['W', 'EH0', 'N', 'T']",3,WENT,"[1.6, 0.4, 0.8, 1.8]",5
50122,10,10,"['AA0', 'N']",10,ON,"[1.8, 2.0]",5
50122,10,10,"['T', 'UW0']",10,TO,"[2.0, 1.8]",5
50122,10,10,"['W', 'AA1', 'SH', 'R', 'UW0', 'M']",10,WASHROOM,"[2.0, 1.2, 2.0, 2.0, 2.0, 2.0]",5
50174,10,10,"['AO0', 'L']",10,ALL,"[1.6, 2.0]",5
50174,10,10,"['W', 'IH0', 'TH']",10,WITH,"[2.0, 2.0, 1.6]",5
50174,10,10,"['HH', 'IH0', 'M']",10,HIM,"[1.8, 2.0, 2.0]",5
50175,10,10,"['G', 'UH0', 'D']",10,GOOD,"[2.0, 1.2, 2.0]",5
50175,10,10,"['JH', 'AA0', 'B']",10,JOB,"[2.0, 1.4, 2.0]",5
60015,10,10,"['JH', 'EY1', 'M', 'IY0']",10,JAYME,"[2.0, 2.0, 2.0, 2.0]",6
60015,10,10,"['IH0', 'Z']",10,IS,"[2.0, 2.0]",6
60015,10,10,"['G', 'OW0', 'IH0', 'NG']",10,GOING,"[2.0, 2.0, 2.0, 2.0]",6
60015,10,10,"['T', 'UW0']",10,TO,"[2.0, 2.0]",6
60015,10,10,"['S', 'IY0']",10,SEE,"[2.0, 2.0]",6
60015,10,10,"['HH', 'EH0', 'N']",10,HEN,"[2.0, 2.0, 2.0]",6
60020,10,10,"['D', 'AO1', 'R', 'AH0']",10,DORA,"[2.0, 2.0, 2.0, 2.0]",6
60020,10,10,"['IH0', 'Z']",10,IS,"[2.0, 2.0]",6
60020,10,10,"['K', 'AH0', 'M']",10,COME,"[2.0, 2.0, 2.0]",6
60020,10,10,"['F', 'R', 'AH0', 'M']",10,FROM,"[2.0, 2.0, 1.4, 2.0]",6
60020,10,10,"['JH', 'AH0', 'P', 'AE1', 'N']",10,JAPAN,"[2.0, 2.0, 2.0, 2.0, 2.0]",6
60029,10,10,"['S', 'IH0', 'K', 'S']",10,SIX,"[2.0, 2.0, 2.0, 2.0]",6
60029,10,10,"['W', 'AH0', 'N']",10,ONE,"[2.0, 2.0, 2.0]",6
60029,10,10,"['S', 'IH0', 'K', 'S']",10,SIX,"[2.0, 2.0, 2.0, 2.0]",6
60029,10,10,"['Z', 'IH1', 'R', 'OW0']",10,ZERO,"[2.0, 1.6, 1.6, 2.0]",6
60031,10,10,"['F', 'AY0', 'V']",10,FIVE,"[2.0, 2.0, 2.0]",6
60031,10,10,"['T', 'UW0']",10,TWO,"[2.0, 2.0]",6
60031,10,10,"['F', 'AO0', 'R']",10,FOUR,"[2.0, 2.0, 2.0]",6
60031,10,10,"['S', 'EH1', 'V', 'N']",10,SEVEN,"[2.0, 2.0, 2.0, 2.0]",6
60049,10,10,"['Z', 'IH1', 'R', 'OW0']",10,ZERO,"[2.0, 1.6, 1.6, 2.0]",6
60049,10,10,"['TH', 'R', 'IY0']",10,THREE,"[2.0, 2.0, 2.0]",6
60049,10,10,"['F', 'AY0', 'V']",10,FIVE,"[2.0, 2.0, 1.6]",6
60056,10,10,"['F', 'OW0', 'N']",10,PHONE,"[2.0, 2.0, 2.0]",6
60056,10,10,"['P', 'AA0', 'R', 'T', 'S']",10,PARTS,"[2.0, 2.0, 2.0, 2.0, 2.0]",6
